                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9731,                  2.053,                 1.2818,                0.95252,                0.46333,                0.46818,                 0.2283,                 1.6394,                0.95205,                 1.0993,             0.00010002,             0.00010002,             0.00010002
                      2,                 1.5842,                 1.3007,                 1.0645,                0.96819,                0.49063,                0.48761,                0.27867,                 1.4073,                0.91145,                 1.0091,             0.00019526,             0.00019526,             0.00019526
                      3,                 1.5821,                0.95664,                  1.051,                0.77683,                0.53212,                0.53448,                0.24057,                  1.652,                 1.2185,                 1.0408,             0.00026739,             0.00026739,             0.00026739
                      4,                 1.4776,                0.93053,                0.99563,                0.24783,                0.52082,                0.24065,                 0.1252,                 1.5042,                 3.6395,                 1.0186,             0.00031641,             0.00031641,             0.00031641
                      5,                 1.4041,                 0.9645,                0.98514,                0.89045,                0.61818,                0.65732,                0.34529,                 1.4084,                 1.0996,                0.99757,             0.00034234,             0.00034234,             0.00034234
                      6,                 1.4623,                0.91198,                 1.0048,                0.90289,                0.57786,                0.57989,                0.28094,                 1.5789,                0.89476,                 1.0397,             0.00034515,             0.00034515,             0.00034515
                      7,                 1.4451,                0.85433,                 1.0009,                0.81192,                0.58424,                0.57568,                0.27372,                 1.6051,                0.96326,                 1.0477,             0.00032486,             0.00032486,             0.00032486
                      8,                 1.3874,                0.78294,                0.98744,                0.50727,                0.58758,                0.52819,                0.29027,                 1.4665,                0.91175,                  1.002,             0.00028147,             0.00028147,             0.00028147
                      9,                 1.3599,                0.72733,                 0.9779,                0.90557,                0.57771,                0.60074,                0.33373,                 1.4539,                 0.7811,                0.99264,             0.00021498,             0.00021498,             0.00021498
                     10,                 1.3651,                0.70192,                0.99067,                0.91586,                0.58268,                0.61827,                0.33737,                 1.4571,                 0.7425,                0.98948,             0.00012538,             0.00012538,             0.00012538
